model,AUROC,F1,Precision,Recall,TP,FP,TN,FN,category
Baseline,0.3508,0.863,0.759,1.0,63,20,0,0,bottle
PatchCore,0.9976,0.9764,0.9688,0.9841,62,2,18,1,bottle
Baseline,0.5371,0.7603,0.6133,1.0,92,58,0,0,cable
PatchCore,0.8431,0.5839,0.8889,0.4348,40,5,53,52,cable
Baseline,0.6119,0.9046,0.8258,1.0,109,23,0,0,capsule
PatchCore,0.7539,0.4626,0.8947,0.3119,34,4,19,75,capsule
Baseline,0.1958,0.8641,0.7607,1.0,89,28,0,0,carpet
PatchCore,0.9334,0.8929,0.9494,0.8427,75,4,24,14,carpet
Baseline,0.9415,0.8444,0.7308,1.0,57,21,0,0,grid
PatchCore,0.6174,0.1,1.0,0.0526,3,0,21,54,grid
Baseline,0.085,0.7778,0.6364,1.0,70,40,0,0,hazelnut
PatchCore,1.0,1.0,1.0,1.0,70,0,40,0,hazelnut
Baseline,0.3478,0.8519,0.7419,1.0,92,32,0,0,leather
PatchCore,0.9993,0.9735,0.9485,1.0,92,5,27,0,leather
Baseline,0.5621,0.8,0.8043,0.7957,74,18,4,19,metal_nut
PatchCore,0.9765,0.9551,1.0,0.914,85,0,22,8,metal_nut
Baseline,0.3748,0.9156,0.8443,1.0,141,26,0,0,pill
PatchCore,0.7919,0.604,1.0,0.4326,61,0,26,80,pill
Baseline,1.0,0.853,0.7438,1.0,119,41,0,0,screw
PatchCore,0.808,0.6364,0.9825,0.4706,56,1,40,63,screw
Baseline,0.381,0.8358,0.7179,1.0,84,33,0,0,tile
PatchCore,0.8716,0.6822,0.9778,0.5238,44,1,32,40,tile
Baseline,0.4361,0.8333,0.7143,1.0,30,12,0,0,toothbrush
PatchCore,0.9,0.8235,1.0,0.7,21,0,12,9,toothbrush
Baseline,0.6029,0.5714,0.4,1.0,40,60,0,0,transistor
PatchCore,0.865,0.6857,0.8,0.6,24,6,54,16,transistor
Baseline,0.5798,0.8633,0.7595,1.0,60,19,0,0,wood
PatchCore,0.9965,0.9744,1.0,0.95,57,0,19,3,wood
Baseline,0.4588,0.8815,0.7881,1.0,119,32,0,0,zipper
PatchCore,0.9157,0.9035,0.945,0.8655,103,6,26,16,zipper
